"","SeqName","Project","SampleType","Mouse","Day","Community","MouseType","Diet","Well","pH","Location","finalDaySamples","Buffer","Replicate","Inoculum","names","Condition","mouse_location","mouse_sampleType"
"c2m7_S238","c2m7_S238","c2m7","DAY0_1",NA,"0",NA,NA,NA,"E10","8.5",NA,0,100,NA,2522,NA,"8.5_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S239","c2m7_S239","c2m7","DAY0_1",NA,"0",NA,NA,NA,"E11","9",NA,0,100,NA,2522,NA,"9_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S24","c2m7_S24","c2m7","p4mp1_d14",NA,NA,NA,NA,NA,"B3","7",NA,0,NA,NA,NA,NA,"7_NA","NA_NA_NA_NA_NA","NA_p4mp1_d14_NA_NA_NA"
"c2m7_S245","c2m7_S245","c2m7","DAY0_1",NA,"0",NA,NA,NA,"F5","6",NA,0,100,NA,2522,NA,"6_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S246","c2m7_S246","c2m7","DAY0_1",NA,"0",NA,NA,NA,"F6","6.5",NA,0,100,NA,2522,NA,"6.5_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S247","c2m7_S247","c2m7","DAY0_1",NA,"0",NA,NA,NA,"F7","7",NA,0,100,NA,2522,NA,"7_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S248","c2m7_S248","c2m7","DAY0_1",NA,"0",NA,NA,NA,"F8","7.5",NA,0,100,NA,2522,NA,"7.5_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S249","c2m7_S249","c2m7","DAY0_1",NA,"0",NA,NA,NA,"F9","8",NA,0,100,NA,2522,NA,"8_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S25","c2m7_S25","c2m7","p4mp1_d4",NA,NA,NA,NA,NA,"C1","0",NA,0,NA,NA,NA,NA,"0_NA","NA_NA_NA_NA_NA","NA_p4mp1_d4_NA_NA_NA"
"c2m7_S250","c2m7_S250","c2m7","DAY0_1",NA,"0",NA,NA,NA,"F10","8.5",NA,0,100,NA,2522,NA,"8.5_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S251","c2m7_S251","c2m7","DAY0_1",NA,"0",NA,NA,NA,"F11","9",NA,0,100,NA,2522,NA,"9_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S257","c2m7_S257","c2m7","DAY0_1",NA,"0",NA,NA,NA,"G5","6",NA,0,100,NA,2522,NA,"6_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S258","c2m7_S258","c2m7","DAY0_1",NA,"0",NA,NA,NA,"G6","6.5",NA,0,100,NA,2522,NA,"6.5_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S259","c2m7_S259","c2m7","DAY0_1",NA,"0",NA,NA,NA,"G7","7",NA,0,100,NA,2522,NA,"7_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S26","c2m7_S26","c2m7","p4mp1_d4",NA,NA,NA,NA,NA,"C2","0",NA,0,NA,NA,NA,NA,"0_NA","NA_NA_NA_NA_NA","NA_p4mp1_d4_NA_NA_NA"
"c2m7_S260","c2m7_S260","c2m7","DAY0_1",NA,"0",NA,NA,NA,"G8","7.5",NA,0,100,NA,2522,NA,"7.5_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S261","c2m7_S261","c2m7","DAY0_1",NA,"0",NA,NA,NA,"G9","8",NA,0,100,NA,2522,NA,"8_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S262","c2m7_S262","c2m7","DAY0_1",NA,"0",NA,NA,NA,"G10","8.5",NA,0,100,NA,2522,NA,"8.5_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S263","c2m7_S263","c2m7","DAY0_1",NA,"0",NA,NA,NA,"G11","9",NA,0,100,NA,2522,NA,"9_NA","NA_NA_NA_NA_NA","NA_DAY0_1_NA_NA_NA"
"c2m7_S265","c2m7_S265","c2m7","DAY2_1",NA,"2",NA,NA,NA,"A1","6",NA,0,50,NA,NA,NA,"6_NA","NA_NA_NA_NA_NA","NA_DAY2_1_NA_NA_NA"
"c2m7_S266","c2m7_S266","c2m7","DAY2_1",NA,"2",NA,NA,NA,"A2","7",NA,0,50,NA,NA,NA,"7_NA","NA_NA_NA_NA_NA","NA_DAY2_1_NA_NA_NA"
"c2m7_S267","c2m7_S267","c2m7","DAY2_1",NA,"2",NA,NA,NA,"A3","8",NA,0,50,NA,NA,NA,"8_NA","NA_NA_NA_NA_NA","NA_DAY2_1_NA_NA_NA"
"c2m7_S268","c2m7_S268","c2m7","DAY2_1",NA,"2",NA,NA,NA,"A4","9",NA,0,50,NA,NA,NA,"9_NA","NA_NA_NA_NA_NA","NA_DAY2_1_NA_NA_NA"
"c2m7_S269","c2m7_S269","c2m7","DAY2_1",NA,"2",NA,NA,NA,"A5","6",NA,0,100,NA,NA,NA,"6_NA","NA_NA_NA_NA_NA","NA_DAY2_1_NA_NA_NA"
"c2m7_S27","c2m7_S27","c2m7","p4mp1_d4",NA,NA,NA,NA,NA,"C3","0",NA,0,NA,NA,NA,NA,"0_NA","NA_NA_NA_NA_NA","NA_p4mp1_d4_NA_NA_NA"
"c2m7_S270","c2m7_S270","c2m7","DAY2_1",NA,"2",NA,NA,NA,"A6","6.5",NA,0,100,NA,NA,NA,"6.5_NA","NA_NA_NA_NA_NA","NA_DAY2_1_NA_NA_NA"
"c2m7_S271","c2m7_S271","c2m7","DAY2_1",NA,"2",NA,NA,NA,"A7","7",NA,0,100,NA,NA,NA,"7_NA","NA_NA_NA_NA_NA","NA_DAY2_1_NA_NA_NA"
"c2m7_S272","c2m7_S272","c2m7","DAY2_1",NA,"2",NA,NA,NA,"A8","7.5",NA,0,100,NA,NA,NA,"7.5_NA","NA_NA_NA_NA_NA","NA_DAY2_1_NA_NA_NA"
"c2m7_S273","c2m7_S273","c2m7","DAY2_1",NA,"2",NA,NA,NA,"A9","8",NA,0,100,NA,NA,NA,"8_NA","NA_NA_NA_NA_NA","NA_DAY2_1_NA_NA_NA"
"c2m7_S274","c2m7_S274","c2m7","DAY2_1",NA,"2",NA,NA,NA,"A10","8.5",NA,0,100,NA,NA,NA,"8.5_NA","NA_NA_NA_NA_NA","NA_DAY2_1_NA_NA_NA"
"c2m7_S275","c2m7_S275","c2m7","DAY2_1",NA,"2",NA,NA,NA,"A11","9",NA,0,100,NA,NA,NA,"9_NA","NA_NA_NA_NA_NA","NA_DAY2_1_NA_NA_NA"
"c2m7_S276","c2m7_S276","c2m7","DAY2_1",NA,"2",NA,NA,NA,"A12","6",NA,0,0,NA,NA,NA,"6_NA","NA_NA_NA_NA_NA","NA_DAY2_1_NA_NA_NA"
"c2m7_S277","c2m7_S277","c2m7","DAY2_1",NA,"2",NA,NA,NA,"B1","6",NA,0,50,NA,NA,NA,"6_NA","NA_NA_NA_NA_NA","NA_DAY2_1_NA_NA_NA"
"c2m7_S278","c2m7_S278","c2m7","DAY2_1",NA,"2",NA,NA,NA,"B2","7",NA,0,50,NA,NA,NA,"7_NA","NA_NA_NA_NA_NA","NA_DAY2_1_NA_NA_NA"
"c2m7_S279","c2m7_S279","c2m7","DAY2_1",NA,"2",NA,NA,NA,"B3","8",NA,0,50,NA,NA,NA,"8_NA","NA_NA_NA_NA_NA","NA_DAY2_1_NA_NA_NA"
"c2m7_S28","c2m7_S28","c2m7","p4mp1_d10",NA,NA,NA,NA,NA,"C1","0",NA,0,NA,NA,NA,NA,"0_NA","NA_NA_NA_NA_NA","NA_p4mp1_d10_NA_NA_NA"
"c2m7_S280","c2m7_S280","c2m7","DAY2_1",NA,"2",NA,NA,NA,"B4","9",NA,0,50,NA,NA,NA,"9_NA","NA_NA_NA_NA_NA","NA_DAY2_1_NA_NA_NA"
"c2m7_S281","c2m7_S281","c2m7","DAY2_1",NA,"2",NA,NA,NA,"B5","6",NA,0,100,NA,NA,NA,"6_NA","NA_NA_NA_NA_NA","NA_DAY2_1_NA_NA_NA"
"c2m7_S282","c2m7_S282","c2m7","DAY2_1",NA,"2",NA,NA,NA,"B6","6.5",NA,0,100,NA,NA,NA,"6.5_NA","NA_NA_NA_NA_NA","NA_DAY2_1_NA_NA_NA"
"c2m7_S283","c2m7_S283","c2m7","DAY2_1",NA,"2",NA,NA,NA,"B7","7",NA,0,100,NA,NA,NA,"7_NA","NA_NA_NA_NA_NA","NA_DAY2_1_NA_NA_NA"
"c2m7_S284","c2m7_S284","c2m7","DAY2_1",NA,"2",NA,NA,NA,"B8","7.5",NA,0,100,NA,NA,NA,"7.5_NA","NA_NA_NA_NA_NA","NA_DAY2_1_NA_NA_NA"
"c2m7_S285","c2m7_S285","c2m7","DAY2_1",NA,"2",NA,NA,NA,"B9","8",NA,0,100,NA,NA,NA,"8_NA","NA_NA_NA_NA_NA","NA_DAY2_1_NA_NA_NA"
"c2m7_S286","c2m7_S286","c2m7","DAY2_1",NA,"2",NA,NA,NA,"B10","8.5",NA,0,100,NA,NA,NA,"8.5_NA","NA_NA_NA_NA_NA","NA_DAY2_1_NA_NA_NA"
"c2m7_S287","c2m7_S287","c2m7","DAY2_1",NA,"2",NA,NA,NA,"B11","9",NA,0,100,NA,NA,NA,"9_NA","NA_NA_NA_NA_NA","NA_DAY2_1_NA_NA_NA"
"c2m7_S288","c2m7_S288","c2m7","DAY2_1",NA,"2",NA,NA,NA,"B12","6",NA,0,0,NA,NA,NA,"6_NA","NA_NA_NA_NA_NA","NA_DAY2_1_NA_NA_NA"
"c2m7_S289","c2m7_S289","c2m7","DAY2_1",NA,"2",NA,NA,NA,"C1","6",NA,0,50,NA,NA,NA,"6_NA","NA_NA_NA_NA_NA","NA_DAY2_1_NA_NA_NA"
"c2m7_S29","c2m7_S29","c2m7","p4mp1_d10",NA,NA,NA,NA,NA,"C2","0",NA,0,NA,NA,NA,NA,"0_NA","NA_NA_NA_NA_NA","NA_p4mp1_d10_NA_NA_NA"
"c2m7_S290","c2m7_S290","c2m7","DAY2_1",NA,"2",NA,NA,NA,"C2","7",NA,0,50,NA,NA,NA,"7_NA","NA_NA_NA_NA_NA","NA_DAY2_1_NA_NA_NA"
"c2m7_S291","c2m7_S291","c2m7","DAY2_1",NA,"2",NA,NA,NA,"C3","8",NA,0,50,NA,NA,NA,"8_NA","NA_NA_NA_NA_NA","NA_DAY2_1_NA_NA_NA"
"c2m7_S292","c2m7_S292","c2m7","DAY2_1",NA,"2",NA,NA,NA,"C4","9",NA,0,50,NA,NA,NA,"9_NA","NA_NA_NA_NA_NA","NA_DAY2_1_NA_NA_NA"
"c2m7_S293","c2m7_S293","c2m7","DAY2_1",NA,"2",NA,NA,NA,"C5","6",NA,0,100,NA,NA,NA,"6_NA","NA_NA_NA_NA_NA","NA_DAY2_1_NA_NA_NA"
"c2m7_S294","c2m7_S294","c2m7","DAY2_1",NA,"2",NA,NA,NA,"C6","6.5",NA,0,100,NA,NA,NA,"6.5_NA","NA_NA_NA_NA_NA","NA_DAY2_1_NA_NA_NA"
"c2m7_S295","c2m7_S295","c2m7","DAY2_1",NA,"2",NA,NA,NA,"C7","7",NA,0,100,NA,NA,NA,"7_NA","NA_NA_NA_NA_NA","NA_DAY2_1_NA_NA_NA"
"c2m7_S296","c2m7_S296","c2m7","DAY2_1",NA,"2",NA,NA,NA,"C8","7.5",NA,0,100,NA,NA,NA,"7.5_NA","NA_NA_NA_NA_NA","NA_DAY2_1_NA_NA_NA"
"c2m7_S297","c2m7_S297","c2m7","DAY2_1",NA,"2",NA,NA,NA,"C9","8",NA,0,100,NA,NA,NA,"8_NA","NA_NA_NA_NA_NA","NA_DAY2_1_NA_NA_NA"
