"","BioHub_Name","Plate","Well","Column","Project","SampleType","Mouse","Date","Day","Isolator","Isolator_2","Community","MouseType","Isolate","Isolate_Source","Diet","DNA.Extracted","S_Number","dedup","hostRemoved","raw"
"33","mousexp3_gavage1_C7",NA,"C",7,"MouseExp3","Cecum","m3","3.22.22",30,119,NA,"syn_SI","SW","","","Normal","","S31",23620324,20973759,86155837
"34","mousexp3_gavage1_C8",NA,"C",8,"MouseExp3","Cecum","m4","3.22.22",30,119,NA,"syn_SI","SW","","","Normal","","S32",13911070,13287573,29257721
"35","mousexp3_gavage1_C9",NA,"C",9,"MouseExp3","Cecum","m5","3.22.22",30,119,NA,"syn_SI","SW","","","Normal","","S33",19537574,17555807,79695074
"36","mousexp3_gavage1_D10",NA,"D",10,"MouseExp3","Stool","m9","3.22.22",30,118,NA,"syn_Stool","SW","","","Normal","","S46",24742282,14695730,88293859
"37","mousexp3_gavage1_D1",NA,"D",1,"MouseExp3","Cecum","m9","3.22.22",30,118,NA,"syn_Stool","SW","","","Normal","","S37",36675698,35764461,122888817
"38","mousexp3_gavage1_D2",NA,"D",2,"MouseExp3","Stool","m1","3.22.22",30,119,NA,"syn_SI","SW","","","Normal","","S38",15184658,13007792,50169860
"39","mousexp3_gavage1_D3",NA,"D",3,"MouseExp3","Stool","m2","3.22.22",30,119,NA,"syn_SI","SW","","","Normal","","S39",16451932,12930562,49336190
"40","mousexp3_gavage1_D4",NA,"D",4,"MouseExp3","Stool","m3","3.22.22",30,119,NA,"syn_SI","SW","","","Normal","","S40",11807375,8157872,45279149
"41","mousexp3_gavage1_D5",NA,"D",5,"MouseExp3","Stool","m4","3.22.22",30,119,NA,"syn_SI","SW","","","Normal","","S41",25905754,24405226,98177765
"42","mousexp3_gavage1_D7",NA,"D",7,"MouseExp3","Stool","m6","3.22.22",30,118,NA,"syn_Stool","SW","","","Normal","","S43",22655795,21966376,81497827
"43","mousexp3_gavage1_D8",NA,"D",8,"MouseExp3","Stool","m7","3.22.22",30,118,NA,"syn_Stool","SW","","","Normal","","S44",9259031,8063820,31832167
"44","mousexp3_gavage1_D9",NA,"D",9,"MouseExp3","Stool","m8","3.22.22",30,118,NA,"syn_Stool","SW","","","Normal","","S45",22726073,20069341,84647249
